last_bot_message,last_user_message,message,keyboard,callback_url,img,key_value,intent
✏,/fasten_feedback,"""Hallo 🙂. Glückwunsch, du fastest schon seit {} Uhr. Am {} Uhr hast du dein Ziel von {} Stunden erreicht. Wie fühlst du dich?"".format(fast_start, fast_end, fast_duration)", 👍 ; 👎, 👍 ; 👎,,fasten_feedback_emoji,/fasten_feedback
"""Hallo 🙂. Glückwunsch, du fastest schon seit {} Uhr. Am {} Uhr hast du dein Ziel von {} Stunden erreicht. Wie fühlst du dich?"".format(fast_start, fast_end, fast_duration)",✏,"""Alles klar. Ich melde mich spätestens am {} Uhr wieder. Frohes Fasten!"".format(fast_end)",Profil,/profil,,,end_conversation
