last_bot_message,last_user_message,message,keyboard,callback_url,img,key_value,intent
✏,/meal_entry,Ist notiert. 🔍 Wie denkst du über deine Mahlzeit?,bringt mich näher; entfernt mich; weiß ich nicht,bringt mich näher; entfernt mich; weiß ich nicht,,meal_path_text,/meal_entry
Ist notiert. 🔍 Wie denkst du über deine Mahlzeit?,entfernt mich,Was stört dich daran? ✏️,,,,meal_problem_text,/meal_entry
Was stört dich daran? ✏️,✏,Wieso isst du es? ✏️,,,,meal_reason_text,/meal_entry
Ist notiert. 🔍 Wie denkst du über deine Mahlzeit?,weiß ich nicht,"Kein Problem. Wenn du möchtest, notiere für dich selbst, was du isst. Bspw.: 'Fisch mit Spinat' ✏",,,,meal_description_text,/meal_entry
Ist notiert. 🔍 Wie denkst du über deine Mahlzeit?,✏,"Ok, Guten Appetit 👩‍🍳. Wenn du möchtest, notiere für dich selbst, was du isst. Bspw.: 'Fisch mit Spinat' ✏",,,,meal_description_text,/meal_entry
Wieso isst du es? ✏️,✏,"Ok, Guten Appetit 👩‍🍳. Wenn du möchtest, notiere für dich selbst, was du isst. Bspw.: 'Fisch mit Spinat' ✏",,,,meal_description_text,/meal_entry
"Kein Problem. Wenn du möchtest, notiere für dich selbst, was du isst. Bspw.: 'Fisch mit Spinat' ✏",✏,Alles klar. Bis später,,,,,end_conversation
"Ok, Guten Appetit 👩‍🍳. Wenn du möchtest, notiere für dich selbst, was du isst. Bspw.: 'Fisch mit Spinat' ✏",✏,Alles klar. Bis später,,,,,end_conversation
