last_bot_message,last_user_message,message,keyboard,callback_url,img,key_value,intent
✏,/ketonwert,Alles klar. Wie hoch war dein Ketonwert? ✏,,,,ketone_value_float,/ketonwert
Alles klar. Wie hoch war dein Ketonwert? ✏,✏,Ist erfasst. Bis später ☺,,,,,end_conversation
