last_bot_message,last_user_message,message,keyboard,callback_url,img,key_value,intent
✏,/fasten_feedback_m,"Hallo 🙂. Glückwunsch, du fastest schon seit gestern um 16:54 Uhr. Um 08:54 Uhr hast du dein Ziel von 16 Stunden erreicht. Wie fühlst du dich?", 👍 ; 👎, 👍 ; 👎,,fasten_feedback_emoji,/fasten_feedback_m
"Hallo 🙂. Glückwunsch, du fastest schon seit gestern um 16:54 Uhr. Um 08:54 Uhr hast du dein Ziel von 16 Stunden erreicht. Wie fühlst du dich?",✏,Alles klar. Ich melde mich spätestens um 08:54 Uhr wieder. Frohes Fasten!,Profil,/profil,,,end_conversation
