last_bot_message,last_user_message,message,keyboard,callback_url,img,key_value,intent
✏,/fasten_end,"""Glückwunsch 🎉, du hast {} gefastet. Wie fühlst du dich?"".format(fast_duration)", 👍 ; 👎, 👍 ; 👎,,fasten_end_text,/fasten_end
"""Glückwunsch 🎉, du hast {} gefastet. Wie fühlst du dich?"".format(fast_duration)",✏,Möchtest du dir etwas für das nächste Mal notieren? ✏,,,,fasten_feedback_emoji,/fasten_end
Möchtest du dir etwas für das nächste Mal notieren? ✏,✏,Danke für deine Antworten. Und jetzt guten Appetit!,,,,fasten_feedback_text,end_conversation
