last_bot_message,last_user_message,message,keyboard,callback_url,img,key_value,intent
✏,/challenge,Hallo 🙂. Mitglieder fasten ab heute Abend oder morgen früh. Möchtest du dich anschließen?,Ja; jetzt nicht,Ja; jetzt nicht,"""http://s0288.pythonanywhere.com/static/challenge_w{}.png"".format(datetime.datetime.today().isocalendar()[1]+1)",challenge_participation_text,/challenge
Hallo 🙂. Mitglieder fasten ab heute Abend oder morgen früh. Möchtest du dich anschließen?,Ja,"Schön. Drücke auf Fasten, wenn du starten möchtest. In deinem Profil startet dann automatisch deine Fastenuhr ⏱.",Fasten; Profil,/fasten; /profil,,,end_conversation
Hallo 🙂. Mitglieder fasten ab heute Abend oder morgen früh. Möchtest du dich anschließen?,✏,"Alles klar. Wenn du dich doch anschließen möchtest, drücke auf Fasten. Hab einen schönen Tag 🙂.",Fasten,/fasten,,,end_conversation
