last_bot_message,last_user_message,message,keyboard,callback_url,img,key_value,intent
✏,/wiegen,"Hallo, wie viel hast du heute morgen gewogen? ✏",,,,weight_value_float,/wiegen
"Hallo, wie viel hast du heute morgen gewogen? ✏",✏,"Ok. Hier siehst du, wann du gestern gegessen hast. Was denkst du darüber? ✏",Mahlzeit nachtragen,/nachtragen,"""http://s0288.pythonanywhere.com/static/food/{}_{}.png"".format(chat_id, datetime.datetime.strftime(datetime.date.today() - datetime.timedelta(1), '%y-%m-%d'))",meal_daily_feedback_text,/wiegen
"Ok. Hier siehst du, wann du gestern gegessen hast. Was denkst du darüber? ✏",✏,Alles klar. Möchtest du sonst noch etwas angeben?,Ketonwert; Befehle,/ketonwert; /befehle,,,end_conversation
